COUNTRY;2022;2023;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Belgium;11617623 ;11730662 ;11829411 ;12009045 ;12179830 ;12343820 ;12473485 ;12559197 ;12604824 ;12631664 ;12656450 ;12687096 ;12717035 ;12727839 ;12709791 ;12669272 ;12617173 ;12556067 
Bulgaria;6838937 ;6941042 ;6860349 ;6574153 ;6333689 ;6155181 ;6001378 ;5857619 ;5719739 ;5577599 ;5434519 ;5307774 ;5207097 ;5133224 ;5086931 ;5066952 ;5066236 ;5072147 
Czechia;10516707 ;10963888 ;11017341 ;10851301 ;10728942 ;10716445 ;10733221 ;10747331 ;10747298 ;10713330 ;10643474 ;10568913 ;10526487 ;10520741 ;10541581 ;10575571 ;10614609 ;10645693 
Denmark;5873420 ;5927971 ;5979924 ;6059699 ;6112281 ;6140844 ;6149190 ;6150048 ;6152708 ;6163606 ;6176804 ;6186068 ;6190185 ;6184150 ;6168918 ;6149167 ;6134161 ;6126086 
Germany;83237124 ;84551929 ;85207514 ;85284256 ;85216229 ;85183945 ;85031168 ;84813866 ;84569064 ;84332583 ;84229131 ;84234786 ;84235857 ;84174853 ;84122425 ;84096518 ;84106070 ;84117337 
Estonia;1331796 ;1371817 ;1377519 ;1358611 ;1344440 ;1342365 ;1341698 ;1340292 ;1336995 ;1329771 ;1319996 ;1310424 ;1302767 ;1295795 ;1290471 ;1288111 ;1288750 ;1289504 
Ireland;5060004 ;5174288 ;5257383 ;5416927 ;5579300 ;5746237 ;5896376 ;6009043 ;6070015 ;6089682 ;6085867 ;6075058 ;6065588 ;6054127 ;6032265 ;5993620 ;5937819 ;5871387 
Greece;10459782 ;10416542 ;10320364 ;10032545 ;9758893 ;9500551 ;9243610 ;8964997 ;8659463 ;8348550 ;8053878 ;7798839 ;7603245 ;7465776 ;7379838 ;7331352 ;7301822 ;7282525 
Spain;47432893 ;47980384 ;48614060 ;49266930 ;49760920 ;50237193 ;50527425 ;50460161 ;50009648 ;49296369 ;48491039 ;47754790 ;47178564 ;46756869 ;46415099 ;46040460 ;45604524 ;45121447 
France;67871925 ;68227636 ;68658223 ;69386211 ;70026306 ;70527060 ;70709758 ;70641762 ;70405341 ;70104683 ;69844912 ;69674928 ;69528454 ;69331696 ;69046355 ;68730260 ;68400588 ;68042806 
Croatia;3862305 ;3854381 ;3810628 ;3693206 ;3593292 ;3495577 ;3400681 ;3310003 ;3225297 ;3148039 ;3079755 ;3017290 ;2963931 ;2919932 ;2885156 ;2858677 ;2837415 ;2822689 
Italy;59030133 ;59058615 ;58951070 ;58773783 ;58655761 ;58519597 ;58180562 ;57518500 ;56536819 ;55368858 ;54236954 ;53332659 ;52700144 ;52233701 ;51787022 ;51284037 ;50741612 ;50194524 
Cyprus;904705 ;926006 ;941765 ;957744 ;967207 ;973876 ;978267 ;982420 ;987214 ;992236 ;995856 ;996715 ;995325 ;993163 ;991819 ;993808 ;999433 ;1007739 
Latvia;1875757 ;1894146 ;1863089 ;1756334 ;1660761 ;1586936 ;1523373 ;1466019 ;1411313 ;1356948 ;1304642 ;1260499 ;1225991 ;1198921 ;1180343 ;1169517 ;1165965 ;1165838 
Lithuania;2805998 ;2869396 ;2860472 ;2741927 ;2622099 ;2522535 ;2427900 ;2337340 ;2250264 ;2167236 ;2088991 ;2017152 ;1953947 ;1898580 ;1851346 ;1814113 ;1790097 ;1775674 
Luxembourg;645397 ;662537 ;687081 ;740420 ;788408 ;830737 ;866782 ;897072 ;922195 ;943353 ;960940 ;974490 ;984031 ;989942 ;992914 ;994344 ;995609 ;997267 
Hungary;9689010 ;9689361 ;9644847 ;9526758 ;9422235 ;9340235 ;9282370 ;9230736 ;9190172 ;9147771 ;9087927 ;9026308 ;8985052 ;8965750 ;8969975 ;8989102 ;9018847 ;9054057 
Malta;520971 ;532640 ;553623 ;604727 ;649012 ;686011 ;717332 ;744353 ;767977 ;788211 ;802973 ;810646 ;811265 ;805749 ;795592 ;783009 ;770573 ;759097 
Netherlands;17590672 ;17823388 ;18048588 ;18341701 ;18564556 ;18710299 ;18757547 ;18743896 ;18707257 ;18689242 ;18704517 ;18745716 ;18762166 ;18727710 ;18641039 ;18527577 ;18413362 ;18310405 
Austria;8978929 ;9073118 ;9111243 ;9214690 ;9319086 ;9413009 ;9482146 ;9527146 ;9542363 ;9540690 ;9537703 ;9543884 ;9553802 ;9557919 ;9558180 ;9559004 ;9565779 ;9576626 
Poland;37654247 ;38482931 ;38381332 ;37420524 ;36517358 ;35844414 ;35216016 ;34623544 ;34018603 ;33376446 ;32667496 ;31920633 ;31223065 ;30610714 ;30141798 ;29816164 ;29625311 ;29516003 
Portugal;10352042 ;10392897 ;10372141 ;10249138 ;10120798 ;9988936 ;9832722 ;9650059 ;9455780 ;9270463 ;9104871 ;8967921 ;8869895 ;8821390 ;8818359 ;8847235 ;8900638 ;8981056 
Romania;19042455 ;19030292 ;18831698 ;18218553 ;17683694 ;17232578 ;16828669 ;16439020 ;16069750 ;15689153 ;15336213 ;15039871 ;14827444 ;14681481 ;14604453 ;14574108 ;14583704 ;14609506 
Slovenia;2107180 ;2116709 ;2120770 ;2118806 ;2113672 ;2109858 ;2105158 ;2094023 ;2074845 ;2049857 ;2024543 ;2002145 ;1985383 ;1974016 ;1966177 ;1960489 ;1955930 ;1950820 
Slovakia;5434712 ;5523904 ;5521368 ;5450183 ;5368574 ;5301530 ;5240579 ;5179658 ;5111829 ;5029491 ;4930199 ;4826694 ;4734565 ;4660973 ;4609553 ;4577330 ;4560138 ;4552382 
Finland;5548241 ;5608235 ;5640423 ;5631487 ;5601455 ;5561029 ;5512800 ;5459062 ;5400464 ;5344791 ;5291261 ;5236910 ;5176288 ;5105181 ;5022471 ;4937309 ;4857812 ;4784869 
Sweden;10452326 ;10561077 ;10705814 ;11020442 ;11302547 ;11581390 ;11862065 ;12130240 ;12365036 ;12563488 ;12732058 ;12884585 ;13020332 ;13127074 ;13194563 ;13233792 ;13263550 ;13278186 
Iceland;376248 ;386331 ;402007 ;435095 ;465333 ;492798 ;516791 ;537665 ;556325 ;573463 ;588704 ;601265 ;610719 ;616949 ;620394 ;622128 ;623316 ;624532 
Norway;5425270 ;5467532 ;5508635 ;5663302 ;5823251 ;5973143 ;6105082 ;6215295 ;6303668 ;6376600 ;6443167 ;6509739 ;6575882 ;6630264 ;6666640 ;6690956 ;6711556 ;6731629 
Switzerland;8738791 ;8831768 ;8923538 ;9137089 ;9323686 ;9485477 ;9623066 ;9739036 ;9823490 ;9877710 ;9913958 ;9945206 ;9972444 ;9994301 ;10013912 ;10036738 ;10068498 ;10104311 
